quote,tags
"We all need to be mocked from time to time, lest we take ourselves too seriously.",inspirational
"If we ever forget that we're one nation under God, then we will be one nation gone under.",inspirational;religon;separation-of-church-and-state
"Growing up means learning what life is. When you're little, you have a set of ideals, standards, criteria, plans, outlooks, and you think that you have to sit around and wait for them to happen to you and then life will work. But life isn't like that, for anybody; you can't fall in love with a standard, you have to fall in love with a person. You can't live in a criteria, you have to live your life. You can't wait for your plans to materialize, because they may never materialize the way you think they will. You can't wait to watch your ideals and standards walk up to you, because you can't know what's yours until you have it. I always say, always take the first chance in case you never get a second one, but growing up takes that even one step further, growing up means that you have to hold on to what you have, when you have it, because what you have- that's yours- and all the ideals and criteria you have set in your head, those aren't yours, because those haven't happened to you.",growing;growth;humanism;humanity;inspirational;inspirational-life;inspirational-quotes;learning;life;life-and-living;life-experiences;life-lessons
"Friendship with oneself is all important, because without it one cannot be friends with anyone else in the world.",inspirational;self-acceptance
"I'm going to paraphrase Thoreau here... rather than love, than money, than faith, than fame, than fairness... give me truth. ",inspirational
"For everything in this journey of life we are on, there is a right wing and a left wing: for the wing of love there is anger; for the wing of destiny there is fear; for the wing of pain there is healing; for the wing of hurt there is forgiveness; for the wing of pride there is humility; for the wing of giving there is taking; for the wing of tears there is joy; for the wing of rejection there is acceptance; for the wing of judgment there is grace; for the wing of honor there is shame; for the wing of letting go there is the wing of keeping. We can only fly with two wings and two wings can only stay in the air if there is a balance. Two beautiful wings is perfection. There is a generation of people who idealize perfection as the existence of only one of these wings every time. But I see that a bird with one wing is imperfect. An angel with one wing is imperfect. A butterfly with one wing is dead. So this generation of people strive to always cut off the other wing in the hopes of embodying their ideal of perfection, and in doing so, have created a crippled race.",ancient;flight;flying;human-race;humanity;imperfection;inspirational;inspirational-life;inspirational-quotes;inspiring;journey;life;life-and-living;life-s-journey;living;living-life;people;perfect;perfection;the-journey;truth;two-wings;wings;wisdom;wisdom-quotes
It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.,ability;don-t-give-up;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational;never-give-up;optimism;optimistic;perseverance;persistence;positive;positive-affirmation;positive-life;positive-thinking;vision
"Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.",change;failure;failures;inspiration;inspirational;inspirational-quotes;inspire;inspiring;keep-going;keep-moving-forward;learn;learning;life;life-quotes;living;motivation;motivational;optimism;optimistic;perseverance;positive;positive-affirmation;positive-life;positive-thinking;risk;success
"E.L. Doctorow said once said that 'Writing a novel is like driving a car at night. You can see only as far as your headlights, but you can make the whole trip that way.' You don't have to see where you're going, you don't have to see your destination or everything you will pass along the way. You just have to see two or three feet ahead of you. This is right up there with the best advice on writing, or life, I have ever heard.",inspirational;life;writing
"It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.",courage;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;mistakes;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
The place God calls you to is the place where your deep gladness and the world’s deep hunger meet.,inspirational
Desperation is the raw material of drastic change. Only those who can leave behind everything they have ever believed in can hope to escape. ,burroughs;change;escape;inspirational
I offer you peace. I offer you love. I offer you friendship. I see your beauty. I hear your need. I feel your feelings.,inspirational
"The soul should always stand ajar, ready to welcome the ecstatic experience.",inspirational;writing
"All I ask is one thing, and I’m asking this particularly of young people: please don’t be cynical. I hate cynicism, for the record, it’s my least favorite quality and it doesn’t lead anywhere. Nobody in life gets exactly what they thought they were going to get. But if you work really hard and you’re kind, amazing things will happen.",cynicism;happiness;inspirational
"When defeat comes, accept it as a signal that your plans are not sound, rebuild those plans, and set sail once more toward your coveted goal.",career;defeat;goal;goals;inspirational;life;money;motivation;self-help
"I am always doing that which I can not do, in order that I may learn how to do it.",inspirational
You get in life what you have the courage to ask for.,inspirational;oprah
I would rather make mistakes in kindness and compassion than work miracles in unkindness and hardness.,christian-values;compassion;inspirational;kindness
I have learned that you can go anywhere you want to go and do anything you want to do and buy all the things that you want to buy and meet all the people that you want to meet and learn all the things that you desire to learn and if you do all these things but are not madly in love: you have still not begun to live.,inspiration;inspirational;inspirational-life;inspirational-love;inspirational-quotes;life;living;love;meaning-of-life;passion
"There is a legend about a bird which sings just once in its life, more sweetly than any other creature on the face of the earth. From the moment it leaves the nest it searches for a thorn tree, and does not rest until it has found one. Then, singing among the savage branches, it impales itself upon the longest, sharpest spine. And, dying, it rises above its own agony to outcarol the lark and the nightingale. One superlative song, existence the price. But the whole world stills to listen, and God in His heaven smiles. For the best is only bought at the cost of great pain… Or so says the legend.",inspirational;legend
We don't receive wisdom; we must discover it for ourselves after a journey that no one can take for us or spare us.,inspirational;wisdom
"Hearing voices no one else can hear isn't a good sign, even in the wizarding world.",inspirational;life
"So tonight I reach for my journal again. This is the first time I’ve done this since I came to Italy. What I write in my journal is that I am weak and full of fear. I explain that Depression and Loneliness have shown up, and I’m scared they will never leave. I say that I don’t want to take the drugs anymore, but I’m frightened I will have to. I am terrified that I will never really pull my life together",inspirational
"Before, I wanted to say: ""I found love!"" But now, I want to say: ""I found a person. And he belongs to me and I belong to him.",belong;belonging;changing;growing;inspirational;inspirational-love;inspirational-love-quotes;inspirational-quotes;learning;learning-the-truth;life-and-learning;life-and-living;love;people;person
The only limits for tomorrow are the doubts we have today.,hector-ricardo;inspirational
"If we all did the things we are really capable of doing, we would literally astound ourselves.",inspirational;possibility
"The way I see it, if you want the rainbow, you gotta put up with the rain!",inspirational
"It is difficult to live in and enjoy the moment when you are thinking about the past or worrying about the future. You cannot change your past, but you can ruin the present by worrying about your future. Learn from the past, plan for the future. The more you live in and enjoy the present moment, the happier you will be.",future;happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;learning;life;life-and-living;life-lessons;life-quotes;live-in-the-present;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;worry
"Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.",change;happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
It was like the beginning of life and laughter. It was the real meaning of the sun,inspirational
"Toni's Talk: When you invest in yourself, you have instant credibility with your biggest critic...you! As soon as you let doubt creep in---you lose that investment. Make a daily commitment to assess your worth with positive affirmations and watch your investment grow.",affirmations;author;c-toni-graham;commitment;inspirational;ya-author
"Can you remember who you were, before the world told you who you should be?",autobiographical-quote;charles-bukowski;inspirational;journalist;life;poem;poet;poetry;poetry-life-quote;poetry-quotes;posthumous-modern-writer;reflection;satirical;writer-quotes
I have no right to say or do anything that diminishes a man in his own eyes. What matters is not what I think of him but what he thinks of himself. Hurting a man in his dignity is a crime.,inspirational;relationships;self-worth
The beautiful journey of today can only begin when we learn to let go of yesterday.,action;change;inspirational;journey;letting-go;life
"The less you associate with some people, the more your life will improve",inspirational
"Until you step into the unknown, you don’t know what you’re made of.",adventure;courage;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;spiritual;step-into-the-unknown
"You come of the Lord Adam and the Lady Eve,"" said Aslan. ""And that is both honour enough to erect the head of the poorest beggar, and shame enough to bow the shoulders of the greatest emperor on earth. Be content.",inspirational
What would you do if you weren't afraid?,business;career;inspirational;self-help;self-help-women;women
All great achievements require time.,inspirational;motivation
The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.,inspirational
"Don't wait for the right moment to start, start and make each moment right.",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;start-up
You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future.,design;inspirational;life-lessons
Don’t wait for things to happen. Make them happen.,act;action;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.",challenge;growth;inspiration;inspirational;inspirational-quotes;inspire;inspiring;learn;learning;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;potential
I don't fit into any stereotypes. And I like myself that way.,fitting-in;individuality;inspirational;inspirational-attitude;inspirational-quotes;self-awareness;self-knowledge;stereotypes;uniqueness
"...Next time you're faced with a choice, do the right thing. It hurts everyone less in the long run.",honor;inspirational;right-and-wrong
Good things happen in your life when you surround yourself with positive people.,authentic-living;being-positive;inspiration;inspirational;inspirational-quotes;life;life-quotes;motivation;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
He who would learn to fly one day must first learn to walk and run and climb and dance; one cannot fly into flying. ,inspirational
Faith is the bird that feels the light and sings when the dawn is still dark.,aspiration;assurance;faith;inspirational
"These people fail to realize that it is on the inside that God must be defended, not on the outside. They should direct their anger at themselves. For evil in the open is but evil from within that has been let out. The main battlefield for good is not the open ground of the public arena but the small clearing of each heart.",inspirational;religious
We should not judge people by their peak of excellence; but by the distance they have traveled from the point where they started.,excellence;inspirational;journey;judgment;personal-growth
"Words save our lives, sometimes.",inspirational
"The world is so empty if one thinks only of mountains, rivers & cities; but to know someone who thinks & feels with us, & who, though distant, is close to us in spirit, this makes the earth for us an inhabited garden.",community;connection;friendship;goethe;inspirational;love
"Believe there is a great power silently working all things for good, behave yourself and never mind the rest.",christian-behavior;faith;inspirational
Be silent and safe — silence never betrays you,advice;friends;inspirational;judgement;motivational;poetry;praise;safety;silence;true;trust;work
Hate looks like everybody else until it smiles,dystopia;hate;inspirational;love;shatter-me;young-adult
"If you enter this world knowing you are loved and you leave this world knowing the same, then everything that happens in between can be dealt with.",inspirational;life;love;pop;singer;songwriter
Stop doing what is easy. Start doing what is right.,act;action;do;doing;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;right;start;startup;truth
Ruin is a gift. Ruin is the road to transformation.,inspirational
"Walk with the dreamers, the believers, the courageous, the cheerful, the planners, the doers, the successful people with their heads in the clouds and their feet on the ground. Let their spirit ignite a fire within you to leave this world better than when you found it...",courage;dreams;future;inspirational;life;spirit;success
"Although I'm only fourteen, I know quite well what I want, I know who is right and who is wrong. I have my opinions, my own ideas and principles, and although it may sound pretty mad from an adolescent, I feel more of a person than a child, I feel quite indepedent of anyone.",hope;inspirational;wise
"To each there comes in their lifetime a special moment when they are figuratively tapped on the shoulder and offered the chance to do a very special thing, unique to them and fitted to their talents. What a tragedy if that moment finds them unprepared or unqualified for that which could have been their finest hour.",inspirational;life;success
It is amazing what you can accomplish if you do not care who gets the credit.,accomplishment;achievement;inspirational;misattributed;modesty;recognition
7 Effective Ways to Make Others Feel Importan,care;gratitude;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leader;leadership;life;life-and-living;life-lessons;life-quotes;listening;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;respect;show-you-care
"As is a tale, so is life: not how long it is, but how good it is, is what matters.",inspirational
What you stay focused on will grow.,focus;grow;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;stay-focused
Good people see the good and bring out the best in other people.,goodness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leader;leadership;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.",adversity;challenge;growth;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;motivation;motivational;opportunity;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"Be soft. Do not let the world make you hard. Do not let the pain make you hate. Do not let the bitterness steal your sweetness. Take pride that even though the rest of the world may disagree, you still believe it to be a beautiful place",inspirational
"It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.",belief;compassion;empathy;experiences;generosity;humility;inspiration;inspirational;inspirational-quotes;inspire;inspiring;joy;kindness;life;life-quotes;living;love;mind;motivation;motivational;optimism;optimistic;peace;positive;positive-affirmation;positive-life;positive-thinking;thoughts
"Enjoy every step you take. If you're curious, there is always something new to be discovered in the backdrop of your daily life.",curiosity;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"The minute I stopped trying to find the right girl, and started trying to become the right guy...the girl came.",dating-advice;inspirational;love
"These were the lovely bones that had grown around my absence: the connections-sometimes tenuous, sometimes made at great cost, but often magnificent-that happened after I was gone. And I began to see things in a way that let me hold the world without me in it. The events that my death wrought were merely the bones of a body that would become whole at some unpredictable time in the future. The price of what I came to see as this miraculous body had been my life.",death;inspirational;life
"Maybe this is why we read, and why in moments of darkness we return to books: to find words for what we already know.",inspirational;readers;readers-and-writers;reading;reading-books;reasons-for-reading
"We are all equal in the fact that we are all different. We are all the same in the fact that we will never be the same. We are united by the reality that all colours and all cultures are distinct & individual. We are harmonious in the reality that we are all held to this earth by the same gravity. We don't share blood, but we share the air that keeps us alive. I will not blind myself and say that my black brother is not different from me. I will not blind myself and say that my brown sister is not different from me. But my black brother is he as much as I am me. But my brown sister is she as much as I am me.",brotherhood;color;difference;differences;equality;harmony;human;humanism;humanity;individuality;inspiration;inspirational;inspirational-life;inspirational-quotes;life;life-and-living;living;race;respect;sisterhood;society;unity
Stay hungry. Stay foolish.,inspirational
Pointing to another world will never stop vice among us; shedding light over this world can alone help us.,alone;help;inspirational;light;world
An eye is meant to see things,inspirational
"I don't want to live in the kind of world where we don't look out for each other. Not just the people that are close to us, but anybody who needs a helping hand. I cant change the way anybody else thinks, or what they choose to do, but I can do my bit.",compassion;helping-others;inspirational;personal-responsibility
"I hate to say it, but shit really does happen. You just have to get over it. Beat the hell out of it by doing things that make you happy.",inspirational;life;natalie
Love is too precious to be ashamed of.,happiness;inspirational;love;prejudice;romance
"People who lack the clarity, courage, or determination to follow their own dreams will often find ways to discourage yours. When you change for the better, the people around you will be inspired to change also....but only after doing their best to make you stop. Live your truth and don't EVER stop.",action;change;determination;empowerment;inspirational;life;motivational;success
Reality is wrong. Dreams are for the real.,inspirational
"Never, ever, let anyone tell you what you can and can't do. Prove the cynics wrong. Pity them for they have no imagination. The sky's the limit. Your sky. Your limit. Now. Let's dance.",dreams;inspirational;the-sky-s-the-limit;tom-hiddleston
"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",inspirational
Everyone enjoys being acknowledged and appreciated. Sometimes even the simplest act of gratitude can change someone's entire day. Take the time to recognize and value the people around you and appreciate those who make a difference in your lives.,grateful;gratitude;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;value
You will never be able to escape from your heart. So it's better to listen to what it has to say.,inspirational;love
"Your problem is how you are going to spend this one and precious life you have been issued. Whether you're going to spend it trying to look good and creating the illusion that you have power over circumstances, or whether you are going to taste it, enjoy it and find out the truth about who you are.",inspirational
Don't live down to expectations. Go out there and do something remarkable.,carpe-diem;inspirational;life
"Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.",biology;evolution;grandeur;inspirational;nature;science;wonder
"It did not really matter what we expected from life, but rather what life expected from us. We needed to stop asking about the meaning of life, and instead to think of ourselves as those who were being questioned by life—daily and hourly. Our answer must consist, not in talk and meditation, but in right action and in right conduct. Life ultimately means taking the responsibility to find the right answer to its problems and to fulfill the tasks which it constantly sets for each individual.",inspirational
"Be yourself; no base imitator of another, but your best self. There is something which you can do better than another. Listen to the inward voice and bravely obey that. Do the things at which you are great, not what you were never made for.",inspirational
Nothing will work unless you do.,inspirational
"We are all worms, But I do believe that I am a glow worm.",inspirational
The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.,failure;fearless;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;motivation;motivational;never-give-up;optimism;optimistic;persistence;positive;positive-affirmation;positive-life;positive-thinking;strong;trying
"If you once forfeit the confidence of your fellow citizens, you can never regain their respect and esteem. It is true that you may fool all of the people some of the time; you can even fool some of the people all of the time; but you can't fool all of the people all of the time. -Speech at Clinton, Illinois, September 8, 1854.",honesty;inspirational;trust
"If you haven’t the strength to impose your own terms upon life, then you must accept the terms it offers you.",inspirational
"I want to thank you, Lord, for life and all that's in it",inspirational
Do not let the roles you play in life make you forget who you are.,inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;who-you-are
Self-respect is the root of discipline: The sense of dignity grow,dignity;discipline;inspirational;self-respect
"When you have exhausted all possibilities, remember this - you haven't.",inspirational;wise-words
"When I find myself in times of trouble, mother Mary comes to me",beatles;inspirational;music;power-of-music;song-lyrics
...there ain't no journey what don't change you some.,inspirational;journey;travel
"When you judge another, you do not define them, you define yourself.",inspirational
"You were born to stand out, stop trying to fit in.",authentic-living;be-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.",inspirational;serenity-prayer
"To write well, express yourself like the common people, but think like a wise man.",inspirational;philosophy;writing
"Every man is more than just himself; he also represents the unique, the very special and always significant and remarkable point at which the world's phenomena intersect, only once in this way, and never again. That is why every man's story is important, eternal, sacred; that is why every man, as long as he lives and fulfills the will of nature, is wondrous, and worthy of consideration. In each individual the spirit has become flesh, in each man the creation suffers, within each one a redeemer is nailed to the cross.",inspirational
"Love. Fall in love and stay in love. Write only what you love, and love what you write. The word is love. You have to get up in the morning and write something you love, something to live for.",inspirational
Beauty is about being comfortable in your own skin. It's about knowing and accepting who you are.,acceptance;beauty;inspirational;true-beauty
"Nothing's perfect, the world's not perfect. But it's there for us, trying the best it can; that's what makes it so damn beautiful.",aesthetics;flaws;inspirational
"Things die. But they don't always stay dead. Believe me, I know.",death;inspirational
"It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.",god;inspirational;motivational
"Change may not always bring growth, but there is no growth without change.",change;growth;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.",authentic-living;conviction;enthusiasm;inspiration;inspirational;inspirational-quotes;life;life-quotes;living-on-purpose;motivation;motivational;opportunity;optimism;optimistic;passion;positive;positive-affirmation
Let go of something old that no longer serves you in order to make room for something new.,inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;letting-go;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.",creativity;great-quotes;inspirational
"Time weighs down on you like an old, ambiguous dream. You keep on moving, trying to sleep through it. But even if you go to the ends of the earth, you won't be able to escape it. Still, you have to go there- to the edge of the world. There's something you can't do unless you get there.",inspirational
"She lacks confidence, she craves admiration insatiably. She lives on the reflections of herself in the eyes of others. She does not dare to be herself.",inspirational
"Let us always meet each other with smile, for the smile is the beginning of love.",inspirational;love;smile
"I hated every minute of training, but I said, 'Don't quit. Suffer now and live the rest of your life as a champion'.",inspirational
"If a man is to shed the light of the sun upon other men, he must first of all have it within himself.",education;inspirational;light;teaching
"Knowing is not enough, we must apply. Willing is not enough, we must do.",bruce-lee;determined;inspirational;spiritual
"Each suburban wife struggles with it alone. As she made the beds, shopped for groceries, matched slipcover material, ate peanut butter sandwiches with her children, chauffeured Cub Scouts and Brownies, lay beside her husband at night- she was afraid to ask even of herself the silent question-- 'Is this all?",existentialism;feminism;housekeeping;inspirational;marriage;parenting;purpose
Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.,belief;beliefs;believe;choice;choices;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
Stop feeling sorry for yourself and you will be happy.,inspirational;philosophy
Sometimes you can see things happen right in front of your eyes and still jump to the wrong conclusions.,god;inspirational;religion
"I think that one of these days,"" he said, ""you're going to have to find out where you want to go. And then you've got to start going there. But immediately. You can't afford to lose a minute. Not you.",antolini;catcher-in-the-rye;inspirational
"Belief, like fear or love, is a force to be understood as we understand the theory of relativity and principals of uncertainty. Phenomena that determine the course of our lives. Yesterday, my life was headed in one direction. Today, it is headed in another. Yesterday, I believe I would never have done what I did today. These forces that often remake time and space, that can shape and alter who w",inspirational
"Each person deserves a day away in which no problems are confronted, no solutions searched for.",1993;inspirational;reassurance;reassuring;respite;soothing
"There is no need to search; achievement leads to nowhere. It makes no difference at all, so just be happy now! Love is the only reality of the world, because it is all One, you see. And the only laws are paradox, humor and change. There is no problem, never was, and never will be. Release your struggle, let go of your mind, throw away your concerns, and relax into the world. No need to resist life, just do your best. Open your eyes and see that you are far more than you imagine. You are the world, you are the universe; you are yourself and everyone else, too! It's all the marvelous Play of God. Wake up, regain your humor. Don't worry, just be happy. You are already free!",holistic-health;inspirational;philosophy;self-help
"Once you learn to quit, it becomes a habit.",football;inspirational;paradox;perseverance
"It only takes a split second to smile and forget, yet to someone that needed it, it can last a lifetime.",compassion;inspirational;kindness;smile
"It is not the failure of others to appreciate your abilities that should trouble you, but rather your failure to appreciate theirs.",inspirational
"You can love a person dear to you with a human love, but an enemy can only be loved with divine love.",inspirational;love
Surround Yourself with Positive People Who Believe in Your Dream,ambition;dreams;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
She had become accustomed to being lonely. She was used to walking alone and to being considered 'different.' She did not suffer too much.,comfort;girls;inspirational;loneliness;suffering
"To truly laugh, you must be able to take your pain, and play with it.",inspirational
"Have regular hours for work and play; make each day both useful and pleasant, and prove that you understand the worth of time by employing it well. Then youth will bring few regrets, and life will become a beautiful success.",inspirational;play;work
A villain is just a victim whose story hasn’t been told.,inspirational
Love yourself first and everything else falls into line. Your really have to love yourself to get anything done in this world.,inspirational;self-acceptance
But what was there to say,emptiness;forbidden;grief;happiness;inspirational;laws;love;quietness;sadness
Successful people have no fear of failure. But unsuccessful people do. Successful people have the resilience to face up to failure—learn the lessons and adapt from it.,failure;fearless;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;success
"When you take control of your attitude, you take control of your life.",attitude;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
What other people think and say about you is none of your business. The most destructive thing you would ever do is to believe someone else's opinion of you. You have to stop letting other people's opinions control you.,authentic-living;be-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.",change;comfort-zone;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
"You are willing to die, you coward, but not to live.",inspirational
Life's great happiness is to be convinced we are loved.,inspirational
"This is my simple religion. There is no need for temples; no need for complicated philosophy. Our own brain, our own heart is our temple; the philosophy is kindness.",brain;ethics;inspirational;kindness;life;morality;philosophy;simple;temple
May Light always surround you,beginnings;cheer-up;courage;inspirational;inspirational-quotes;life;new-year;success;truth;wisdom;wishes
Do you know what you are,inspirational;iran;rumi;rumi-poetry
Scars are just another kind of memory.,inspirational;inspirational-quotes;memory;scars
"You need to find a way to live your life, that it doesn't make a mockery of your values.",inspirational;life
"Hope is important because it can make the present moment less difficult to bear. If we believe that tomorrow will be better, we can bear a hardship today.",inspirational;uplifting;way-to-be
Your sacred space is where you can find yourself over and over again.,inspirational;life-lesson;spirituality
"We stood there, looking at each other, saying nothing. But it was the kind of nothing that meant everything. In his eyes, there was no trace of what had happened between us earlier and I could feel something inside me break",breakup;goodbye;inspirational;letting-go;love;release;romance
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",inspirational;moving-on
You will never follow your own inner voice until you clear up the doubts in your mind.,awareness;follow-your-heart;follow-your-inner-voice;follow-your-intuition;gut-feeling;inner-voice;inspiration;inspirational;inspirational-quotes;inspire;inspiring;intuition;life;life-quotes;listen-your-inner-voice;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;soul;spiritual
"Yes, I understand why things had to happen this way. I understand his reason for causing me pain. But mere understanding does not chase away the hurt. It does not call upon the sun when dark clouds have loomed over me. Let the rain come then if it must come! And let it wash away the dust that hurt my eyes!",breakup;broken;broken-heart;broken-hearted;broken-hearted-quotes;dating;faith;healing;heartache;heartbreak;heartbroken;hope;hurt;hurt-feelings;hurting;hurting-heart;inspirational;life;life-lessons;love;romance
"And that's when I understand that I have been stained. Whether I'm still in love with him, whether he was ever in love with me, and no matter who he's in love with now, Willem changed my life. He showed me how to get lost, and then I showed myself how to get found.",inspirational;just-one-day
"To care about your outward appearance is important, but what’s more important is to have a beautiful soul.",heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;soul;spirit
